"geolocation_id","street_address_alias","city_alias","state_province_code","street_address","city","postal_code","country_code","latitude","longitude","time_zone"
1918,"16210 manning way","cerritos","CA","16210 Manning Way, Cerritos, CA 90703, USA","Cerritos",90703,"US",33.88465300,-118.04817600,"America/Los_Angeles"
1919,"8631 south 208th street","kent","WA","8631 S 208th St, Kent, WA 98031, USA","Kent",98031,"US",47.41446940,-122.22453760,"America/Los_Angeles"
1920,"940 industry road","kenner","LA","940 Industry Rd, Kenner, LA 70062, USA","Kenner",70062,"US",29.98612760,-90.27672990,"America/Chicago"
1921,"7600 preston dr","landover","MD","7600 Preston Dr, Hyattsville, MD 20785, USA","Hyattsville",20785,"US",38.93785140,-76.86227670,"America/New_York"
1922,"5904 spring stuebner road","spring","TX","5904 Spring Stuebner Rd, Spring, TX 77389, USA","Spring",77389,"US",30.08526010,-95.51125940,"America/Chicago"
1923,"627 bishop court","hampstead","NC","627 Bishop Ct, Hampstead, NC 28443, USA","Hampstead",28443,"US",34.43636990,-77.57405600,"America/New_York"
1924,"2730 east phillips road","greer","SC","2730 E Phillips Rd, Greer, SC 29650, USA","Greer",29650,"US",34.86244090,-82.22832500,"America/New_York"
1925,"3715 atlanta industrial parkway northwest","atlanta","GA","3715 Atlanta Industrial Pkwy NW, Atlanta, GA 30331, USA","Atlanta",30331,"US",33.79971340,-84.49639090,"America/New_York"
1926,"2801 north davis highway","pensacola","FL","2801 N Davis Hwy, Pensacola, FL 32503, USA","Pensacola",32503,"US",30.44157970,-87.21477640,"America/Chicago"
1927,"1000 deerfield parkway","buffalo grove","IL","1000 Deerfield Pkwy, Buffalo Grove, IL 60089, USA","Buffalo Grove",60089,"US",42.16944310,-87.93507850,"America/Chicago"
1928,"1355 easton road","bethlehem","PA","1355 Easton Rd, Bethlehem, PA 18015, USA","Bethlehem",18015,"US",40.60530440,-75.31139190,"America/New_York"
1929,"500 south cartwright street","goodlettsville","TN","500 S Cartwright St, Goodlettsville, TN 37072, USA","Goodlettsville",37072,"US",36.31914710,-86.70610770,"America/Chicago"
1931,"220 farris dr.","tuscumbia","AL","220 Farris Dr, Leighton, AL 35646, USA","Leighton",35646,"US",34.68336820,-87.58788850,"America/Chicago"
1932,"731 route 1","newcastle","ME","731 Maine Highway 1","Newcastle","04553","US",44.02410300,-69.57560000,"America/New_York"
1933,"1201 millerton street southeast","canton","OH","1201 Millerton St SE, Canton, OH 44707, USA","Canton",44707,"US",40.77259950,-81.36572200,"America/New_York"
1934,"1780 miller parkway","streetsboro","OH","1780 Miller Pkwy, Streetsboro, OH 44241, USA","Streetsboro",44241,"US",41.27176530,-81.33323740,"America/New_York"
1935,"344 kendall road","blairsville","PA","344 Kendall Rd, Blairsville, PA 15717, USA","Blairsville",15717,"US",40.45393810,-79.22151190,"America/New_York"
1936,"405 marsh ln ste 3","wilmington","DE","405 Marsh Ln #3, Wilmington, DE 19804, USA","Wilmington",19804,"US",39.71438100,-75.59422390,"America/New_York"
1937,"451 southlake boulevard","richmond","VA","451 Southlake Blvd, Richmond, VA 23236, USA","Richmond",23236,"US",37.49854120,-77.60353510,"America/New_York"
1938,"3299 bamboo road","boone","NC","3299 Bamboo Rd, Boone, NC 28607, USA","Boone",28607,"US",36.19726450,-81.60719600,"America/New_York"
1939,"c/o romeo  & layla","ontario","CA","1041 Mildred St, Ontario, CA 91761, USA","Ontario",91761,"US",34.05263000,-117.62385600,"America/Los_Angeles"
1940,"731 u.s. 1","newcastle","ME","731 Maine Highway 1","Newcastle","04553","US",44.02410300,-69.57560000,"America/New_York"
1941,"1025 north damen avenue","chicago","IL","1025 N Damen Ave, Chicago, IL 60622, USA","Chicago",60622,"US",41.89996800,-87.67681710,"America/Chicago"
1942,"1003 industrial dr","west berlin","NJ","1003 Industrial Dr, West Berlin, NJ 08091, USA","West Berlin","08091","US",39.80738730,-74.91854800,"America/New_York"
1944,"430 sixth st se","canton","OH","430 6th St SE, Canton, OH 44702, USA","Canton",44702,"US",40.79373520,-81.37302310,"America/New_York"
1945,"1720 north elston avenue","chicago","IL","1720 N Elston Ave, Chicago, IL 60642, USA","Chicago",60642,"US",41.91373070,-87.66481650,"America/Chicago"
1946,"510 kentile road","south plainfield","NJ","510 Kentile Rd, South Plainfield, NJ 07080, USA","South Plainfield","07080","US",40.57234040,-74.39846880,"America/New_York"
1947,"89 leuning street","south hackensack","NJ","89 Leuning St, South Hackensack, NJ 07606, USA","South Hackensack","07606","US",40.87131600,-74.05268640,"America/New_York"
1948,"1518 northeast lombard place","portland","OR","1518 NE Lombard Pl, Portland, OR 97218, USA","Portland",97218,"US",45.57679540,-122.64953900,"America/Los_Angeles"
1949,"1160 powis road","west chicago","IL","1160 Powis Rd, West Chicago, IL 60185, USA","West Chicago",60185,"US",41.90418090,-88.23927270,"America/Chicago"
1950,"5863 san pedro street","los angeles","CA","5863 San Pedro St, Los Angeles, CA 90003, USA","Los Angeles",90003,"US",33.98785230,-118.26997940,"America/Los_Angeles"
1951,"1 imeson park boulevard","jacksonville","FL","1 Imeson Park Blvd, Jacksonville, FL 32218, USA","Jacksonville",32218,"US",30.42251650,-81.64049600,"America/New_York"
1952,"135 essex ave east","avenel","NJ","135 Essex Ave E, Avenel, NJ 07001, USA","Woodbridge Township","07001","US",40.57562170,-74.26323250,"America/New_York"
1953,"2345 east linden avenue","linden","NJ","2345 E Linden Ave, Linden, NJ 07036, USA","Linden","07036","US",40.64937870,-74.22847910,"America/New_York"
1954,"1640 sky view drive","bruceton mills","WV","1640 Sky View Dr, Bruceton Mills, WV 26525, USA","Bruceton Mills",26525,"US",39.67385100,-79.49882590,"America/New_York"
1955,"4875 executive drive","liverpool","NY","4875 Executive Dr, Liverpool, NY 13088, USA","Liverpool",13088,"US",43.11738310,-76.18068570,"America/New_York"
1956,"130 industry way","eastaboga","AL","130 Industry Way, Eastaboga, AL 36260, USA","Eastaboga",36260,"US",33.57672700,-86.05904100,"America/Chicago"
1957,"5110 fulton industrial blvd. sw","atlanta","GA","5110 Fulton Industrial Blvd SW, Atlanta, GA 30336, USA","Atlanta",30336,"US",33.74499090,-84.55743400,"America/New_York"
1958,"100 b industrial dr","greenville","SC","100 Industrial Dr, Greenville, SC 29607, USA","Greenville",29607,"US",34.83572590,-82.35035990,"America/New_York"
1959,"12300 mcnulty rd","philadelphia","PA","12300 McNulty Rd, Philadelphia, PA 19154, USA","Philadelphia",19154,"US",40.11010960,-74.98416350,"America/New_York"
1960,"2820 northwest 105th avenue","doral","FL","2820 NW 105th Ave, Doral, FL 33172, USA","Doral",33172,"US",25.79975430,-80.36739180,"America/New_York"
1961,"4650 newcastle road","stockton","CA","4650 Newcastle Rd, Stockton, CA 95215, USA","Stockton",95215,"US",37.91139540,-121.19931290,"America/Los_Angeles"
1962,"1660 helm drive","las vegas","NV","1660 E Helm Ave, Las Vegas, NV 89119, USA","Las Vegas",89119,"US",36.06957210,-115.12990280,"America/Los_Angeles"
1963,"1301 south 47th avenue","cicero","IL","1301 S 47th Ave, Cicero, IL 60804, USA","Cicero",60804,"US",41.86354860,-87.74111290,"America/Chicago"
1964,"120 amor avenue","carlstadt","NJ","120 Amor Ave, Carlstadt, NJ 07072, USA","Carlstadt","07072","US",40.83456190,-74.07021770,"America/New_York"
1965,"3520 westmoor st","south bend","IN","3520 Westmoor St, South Bend, IN 46628, USA","South Bend",46628,"US",41.68349250,-86.29868540,"America/Indiana/Indianapolis"
1966,"992 temple street","whitman","MA","992 Temple St, Whitman, MA 02382, USA","Whitman","02382","US",42.08092910,-70.97330170,"America/New_York"
1967,"4375 south loop 1604 east","elmendorf","TX","4375 S Loop 1604 E, Elmendorf, TX 78112, USA","Elmendorf",78112,"US",29.21873740,-98.40587500,"America/Chicago"
1968,"600 southeast assembly avenue","vancouver","WA","600 SE Assembly Ave, Vancouver, WA 98661, USA","Vancouver",98661,"US",45.61575340,-122.63043160,"America/Los_Angeles"
1969,"2525 west casino road","everett","WA","2525 W Casino Rd, Everett, WA 98204, USA","Everett",98204,"US",47.92056370,-122.26883650,"America/Los_Angeles"
1970,"10719 presidential drive","dallas","TX","10719 Presidential Dr, Dallas, TX 75243, USA","Dallas",75243,"US",32.90800200,-96.69919490,"America/Chicago"
1971,"3151 east 12th street","los angeles","CA","3151 E 12th St, Los Angeles, CA 90023, USA","Los Angeles",90023,"US",34.01863400,-118.21150800,"America/Los_Angeles"
1972,"481 west rolling meadows drive","fond du lac","WI","481 W Rolling Meadows Dr, Fond du Lac, WI 54937, USA","Fond du Lac",54937,"US",43.75247530,-88.47164780,"America/Chicago"
1973,"3425 south kedzie avenue","chicago","IL","3425 S Kedzie Ave, Chicago, IL 60623, USA","Chicago",60623,"US",41.83135450,-87.70239660,"America/Chicago"
1974,"65 east 400 south","ephraim","UT","65 East 400 South","Ephraim",84627,"US",39.35381000,-111.58548000,"America/Denver"
1975,"120 kirby drive","portland","TN","120 Kirby Dr, Portland, TN 37148, USA","Portland",37148,"US",36.60731030,-86.53091420,"America/Chicago"
1976,"75 4th ave.","hawthorne","NJ","75 4th Ave, Newark, NJ 07104, USA","Newark","07104","US",40.75711390,-74.17069700,"America/New_York"
1977,"2950 fretz valley rd","bedminster","PA","2950 Fretz Valley Rd, Perkasie, PA 18944, USA","Perkasie",18944,"US",40.42458610,-75.19268070,"America/New_York"
1978,"730 north bower road","macomb","IL","730 N Bower Rd, Macomb, IL 61455, USA","Macomb",61455,"US",40.46709880,-90.64021690,"America/Chicago"
1979,"33 velocity way","santa fe","NM","33 Velocity Way, Santa Fe, NM 87508, USA","Santa Fe",87508,"US",35.60405510,-106.00394010,"America/Denver"
1980,"11530 north highway 183","georgetown","TX","11530 US-183, Florence, TX 76527, USA","Florence",76527,"US",30.81736600,-97.89207600,"America/Chicago"
1981,"295 state route 1002","tunkhannock","PA","295 State Rte 1002, Tunkhannock, PA 18657, USA","Tunkhannock",18657,"US",41.58345940,-75.89129650,"America/New_York"
1982,"12310 hatcherville road","baytown","TX","12310 Hatcherville Rd, Baytown, TX 77521, USA","Baytown",77521,"US",29.86282980,-94.91769190,"America/Chicago"
1983,"12310 hatcherville road","mont belvieu","TX","12310 Hatcherville Rd, Baytown, TX 77521, USA","Baytown",77521,"US",29.86282980,-94.91769190,"America/Chicago"
1984,"4915 21st street","racine","WI","4915 21st St, Racine, WI 53406, USA","Racine",53406,"US",42.70330560,-87.83872200,"America/Chicago"
1985,"85 school street","watertown","MA","85 School St, Watertown, MA 02472, USA","Watertown","02472","US",42.36510370,-71.16594700,"America/New_York"
1986,"60 buckley circle","manchester","NH","60 Buckley Cir, Manchester, NH 03109, USA","Manchester","03109","US",42.98320900,-71.40956600,"America/New_York"
1987,"2565 fm 1096","boling","TX","2565 FM 1096, Boling-Iago, TX 77420, USA","Boling-Iago",77420,"US",29.23633060,-96.00055120,"America/Chicago"
1988,"2 warehouse lane","elmsford","NY","2 Warehouse Ln, Elmsford, NY 10523, USA","Elmsford",10523,"US",41.06552910,-73.82069010,"America/New_York"
1989,"27 centre ave.","new rochelle","NY","27 Centre Ave, New Rochelle, NY 10801, USA","New Rochelle",10801,"US",40.90827910,-73.78611950,"America/New_York"
1990,"27 centre avenue","new rochelle","NY","27 Centre Ave, New Rochelle, NY 10801, USA","New Rochelle",10801,"US",40.90827910,-73.78611950,"America/New_York"
1991,"344 new albany road","moorestown","NJ","344 New Albany Rd, Moorestown, NJ 08057, USA","Moorestown","08057","US",39.96619720,-74.97147170,"America/New_York"
1992,"4442 east 26th street","vernon","CA","4442 E 26th St, Vernon, CA 90058, USA","Vernon",90058,"US",34.00191080,-118.17982860,"America/Los_Angeles"
1993,"131 lucky star drive","baldwyn","MS","131 Lucky Star Dr, Baldwyn, MS 38824, USA","Baldwyn",38824,"US",34.49648190,-88.64079400,"America/Chicago"
1994,"3439 regatta boulevard","richmond","CA","3439 Regatta Blvd, Richmond, CA 94804, USA","Richmond",94804,"US",37.91945240,-122.33562060,"America/Los_Angeles"
1995,"4848 south hoyne avenue","chicago","IL","4848 S Hoyne Ave, Chicago, IL 60609, USA","Chicago",60609,"US",41.80549270,-87.67830470,"America/Chicago"
1996,"2030 williams road","columbus","OH","2030 Williams Rd, Columbus, OH 43207, USA","Columbus",43207,"US",39.89179020,-82.93767670,"America/New_York"
1997,"342 east 40th street","holland","MI","342 E 40th St, Holland, MI 49423, USA","Holland",49423,"US",42.76116800,-86.09134320,"America/Detroit"
1998,"4515 west baker road","baytown","TX","4515 W Baker Rd, Baytown, TX 77520, USA","Baytown",77520,"US",29.76841110,-95.01567210,"America/Chicago"
1999,"15044 keswick street","van nuys","CA","15044 Keswick St, Van Nuys, CA 91405, USA","Los Angeles",91405,"US",34.21003290,-118.46093880,"America/Los_Angeles"
2000,"2616 research dr","corona","CA","2616 Research Dr, Corona, CA 92882, USA","Corona",92882,"US",33.88328120,-117.61726310,"America/Los_Angeles"
2001,"700 northpark central drive","houston","TX","700 Northpark Central Dr, Houston, TX 77073, USA","Houston",77073,"US",29.99182740,-95.41277270,"America/Chicago"
2002,"500 duke drive","lebanon","TN","500 Duke Drive","Lebanon",37090,"US",36.11866000,-86.40997000,"America/Chicago"
2003,"1118 route 14","hartford","VT","1118 VT-14, White River Junction, VT 05001, USA","Hartford","05001","US",43.66966600,-72.37230700,"America/New_York"
2004,"3015 georgia 42","locust grove","GA","3015 GA-42, Locust Grove, GA 30248, USA","Locust Grove",30248,"US",33.36738000,-84.12204190,"America/New_York"
2005,"1 market street","passaic","NJ","1 Market Street","Passaic","07055","US",40.86044000,-74.11699500,"America/New_York"
2006,"12101 moore road","austin","TX","12101 Moore Rd, Austin, TX 78719, USA","Austin",78719,"US",30.11928600,-97.66530700,"America/Chicago"
